Constituency,Elected MP[6],Elected Party,Majority,Previous MP[7],Previous Party
Wulensi,Nandaya Yaw Stanley,IND,,Abukari Dawuni,NPP
Yendi,Alhassan Abdul-Fatawu,NDC,,Umar Farouk Aliu Mahama,NPP
Zabzugu,Alhassan Umar,NDC,,John Bennam Jabaah,NPP
Bunkpurugu,Bandim Abed-Nego Azumah,NDC,,Abed-nego Bandim,NDC
Chereponi,Seidu Alhassan Alajor,NDC,,Abdul-Razak Tahidu,NPP
Nalerigu Gambaga,Mumuni Muhammed,NPP,,Issifu Seidu,NDC
Walewale,Mahama Tiah Abdul-Kabiru,NPP,,Lariba Abudu,NPP
Yagaba-Kubori (Walewale West),Mustapha Ussif,NPP,,Mustapha Ussif,NPP
Yunyoo,Alhassan Sulemana[73],NDC,,Oscar Liwaal,NPP
Akan,Yao Gomado,NDC,,Yao Gomado,NDC
Biakoye,Jean-Marie Formadi,NDC,,Kwadwo Nyanpon Aboagye,NDC
Buem,Iddie Kofi Adams,NDC,,Iddie Kofi Adams,NDC
Guan[2],Fred Kwesi Agbenyo[76],NDC,,Vacant since creation,
Krachi East,Nelson Kofi Djabab[77],NDC,,Wisdom Gidisu,NDC
Krachi Nchumuru,Solomon Kuyon,NDC,,Solomon Kuyon,NDC
Krachi West,Helen Adjoa Ntoso[78],NDC,,Helen Adjoa Ntoso,NDC
Nkwanta North,John Oti Bless[79],NDC,"2,669",John Oti Kwabena Bless,NDC
Nkwanta South,Geoffrey Kini,NDC,,Geoffrey Kini,NDC
Bole Bamboi,Yusif Sulemana,NDC,,Yusif Sulemana,NDC
Daboya-Mankarigu,Shaibu Mahama[82],NDC,,Mahama Asei Seini,NPP
Damango,Adam Mutawakilu,NDC,,Samuel Abu Jinapor,NPP
Salaga North,Alhassan Mumuni,NDC,,Alhassan Abdallah Ididi,NPP
Salaga South,Zuwera Mohammed Ibrahimah[83],NDC,,Zuwera Mohammed Ibrahimah,NDC
Sawla-Tuna-Kalba,Andrew Dari Chiwetey,NDC,,Andrew Dari Chiwetey,NDC
Yapei-Kusawgu,John Abdulai Jinapor[84],NDC,,John Abdulai Jinapor,NDC
Bawku Central,Mahama Ayariga,NDC,,Mahama Ayariga,NDC
Binduri,Mahmoud Issifu,NDC,,Abdulai Abanga,NPP
Bolgatanga Central,Isaac Adongo,NDC,,Isaac Adongo,NDC
Bolgatanga East,Dominic Akuritinga Ayine,NDC,,Dominic Akuritinga Ayine,NDC
Bongo,Charles Bawaduah,NDC,,Edward Abambire Bawa,NDC
Builsa North,James Agalga,NDC,,James Agalga,NDC
Builsa South,Clement Apaak,NDC,,Clement Apaak,NDC
Chiana-Paga,Nikyema Billa Alamzy,NDC,,Thomas Adda Dalu,NDC
Garu,Anabah Thomas Winsum,NDC,,Akuka Albert Alalzuuga,NDC
Nabdam,Mark Kurt Nawaane,NDC,,Mark Kurt Nawaane,NDC
Navrongo Central,Simon Akibange Aworigo,NDC,,Sampson Tangombu Chiragia,NDC
Pusiga,Laadi Ayii Ayamba,NDC,,Laadi Ayii Ayamba,NDC
Talensi,Daniel Dung Mahama,NDC,,Benson Tongo Baba,NDC
Tempane,Akanvariva Lydia Lamisi,NDC,,Akanvariva Lydia Lamisi,NDC
Zebilla,Ebenezer Alumire Ndebilla,NDC,,Cletus Apul Avoka,NDC
Daffiama-Bussie-Issa,Sebastian Ngmenenso Sandaare,NDC,,Sebastian Sandaare,NDC
Jirapa,Cletus Seidu Dapilaah,NDC,,Cletus Seidu Dapilaah,NDC
Lambussie,Titus Kofi Beyuo,NDC,,Bakye Yelviel Baligi,NPP
Lawra,Bede A. Zeideng,NDC,,Bede A. Zeideng,NDC
Nadowli Kaleo,Sumah Anthony Mwinikaara,NDC,,Sumah Anthony Mwinikaara,NDC
Nandom,Richard Kuuire,NDC,,Ambrose Dery,NPP
Sissala East,Mohammed Issah Bataglia,NDC,,Issahaku Amidu Chinnia,NPP
Sissala West,Mohammed Adams Sukparu,NDC,,Mohammed Adams Sukparu,NDC
Wa Central,Abdul-Rashid Hassan Pelpuo,NDC,,Abdul-Rashid Hassan Pelpuo,NDC
Wa East,Godfred Seidu Jasaw,NDC,,Godfred Seidu Jasaw,NDC
Wa West,Peter Lanchene Toobu,NDC,,Peter Lanchene Toobu,NDC
Adaklu,Kwame Governs Agbodza[94],NDC,,Kwame Governs Agbodza,NDC
Afadjato South,Frank Afriyie,NDC,,Angela Oforiwaa Alorwu-Tay,NDC
Agotime-Ziope,Charles Kwesi Agbeve[95],NDC,,Charles Kwesi Agbeve,NDC
Akatsi North,Peter Kwasi Nortsu-Kotoe[96],NDC,,Peter Kwasi Nortsu-Kotoe,NDC
Akatsi South,Bernard Ahiafor,NDC,,Bernard Ahiafor,NDC
Anlo,Richard Kwame Sefe,NDC,,Richard Kwame Sefe,NDC
Central Tongu,Alexander Roosevelt Hottordze,NDC,,Alexander Roosevelt Hottordze,NDC
Ho Central,Richmond Edem Kofi Kpotosu[97],NDC,,Benjamin Komla Kpodo,NDC
Ho West,Emmanuel Kwasi Bedzrah[98][99],NDC,,Emmanuel Kwasi Bedzrah,NDC
Hohoe,Thomas Worlanyo Tsekpo[100],NDC,,John Peter Amewu,NPP
Keta,Kwame Dzudzorli Gakpey[101],NDC,"26,621",Kwame Dzudzorli Gakpey,NDC
Ketu North,Eric Edem Agbana[102],NDC,"39,318",James Klutse Avedzi,NDC
Ketu South,Dzifa Abla Gomashie,NDC,,Dzifa Gomashie,NDC
Kpando,Sebastian Fred Deh,NDC,,Adjoa Della Sowah,NDC
North Dayi,Joycelyn Tetteh[103],NDC,"8,055",Joycelyn Tetteh,NDC
North Tongu,Samuel Okudzeto Ablakwa[104],NDC,"37,997",Samuel Okudzeto Ablakwa,NDC
South Dayi,,,,K. E. Rockson-Nelson Dafeamekpor,NDC
South Tongu,Maxwell Kwame Lukutor,NDC,,Kobena Mensah Wisdom Woyome,NDC
Ahanta West,Mavis Kuukua Bissue,NDC,,Ebenezer Kojo Kum,NPP
